Combined_Column,TONNAGE,Year
 01 MORGAN H - April - 2023,2.8,2023
 01 MORGAN H - February - 2023,3.01,2023
 01 MORGAN H - January - 2023,1.24,2023
 01 MORGAN H - June - 2023,0.5,2023
 01 MORGAN H - March - 2023,3.71,2023
 01 MORGAN H - May - 2023,0.95,2023
 02 DANIELS - April - 2023,10.010000000000002,2023
 02 DANIELS - February - 2023,8.25,2023
 02 DANIELS - June - 2023,5.33,2023
 03 FARADAY - April - 2023,9.81,2023
 03 FARADAY - January - 2023,8.75,2023
 03 FARADAY - June - 2023,6.79,2023
 04 FOUNDERS - April - 2023,6.13,2023
 04 FOUNDERS - February - 2023,6.98,2023
 04 FOUNDERS - January - 2023,4.2,2023
 04 FOUNDERS - June - 2023,1.23,2023
 04 FOUNDERS - March - 2023,6.08,2023
 04 FOUNDERS - May - 2023,4.7700000000000005,2023
 06 SALISBUR - April - 2023,12.3,2023
 06 SALISBUR - February - 2023,11.33,2023
 06 SALISBUR - January - 2023,8.469999999999999,2023
 06 SALISBUR - June - 2023,8.68,2023
 06 SALISBUR - March - 2023,12.88,2023
 06 SALISBUR - May - 2023,8.09,2023
 07 MORGAN H - April - 2023,11.24,2023
 07 MORGAN H - February - 2023,10.63,2023
 07 MORGAN H - January - 2023,8.06,2023
 07 MORGAN H - June - 2023,2.84,2023
 07 MORGAN H - March - 2023,11.61,2023
 07 MORGAN H - May - 2023,7.96,2023
 08 RECYCLE - April - 2023,3.93,2023
 08 RECYCLE - January - 2023,6.4,2023
 08 RECYCLE - June - 2023,6.21,2023
 08 RECYCLE - March - 2023,10.09,2023
 09 EAST HAL - April - 2023,3.77,2023
 09 EAST HAL - February - 2023,1.06,2023
 09 EAST HAL - January - 2023,3.05,2023
 09 EAST HAL - June - 2023,3.27,2023
 09 EAST HAL - March - 2023,2.16,2023
 10 CAMPUS C - April - 2023,21.14,2023
 10 CAMPUS C - February - 2023,21.62,2023
 10 CAMPUS C - January - 2023,14.54,2023
 10 CAMPUS C - June - 2023,10.59,2023
 10 CAMPUS C - March - 2023,22.05,2023
 10 CAMPUS C - May - 2023,14.38,2023
 12 RECYCLE - June - 2023,3.96,2023
