Combined_Column,TONNAGE
 01 MORGAN H - April - 2023,2.8
 01 MORGAN H - August - 2022,1.57
 01 MORGAN H - December - 2022,2.07
 01 MORGAN H - February - 2023,3.01
 01 MORGAN H - January - 2023,1.24
 01 MORGAN H - July - 2022,1.75
 01 MORGAN H - June - 2023,0.5
 01 MORGAN H - March - 2023,3.71
 01 MORGAN H - May - 2023,0.9500000000000001
 01 MORGAN H - November - 2022,2.8600000000000003
 01 MORGAN H - October - 2022,2.36
 01 MORGAN H - September - 2022,5.16
 02 DANIELS - April - 2023,10.010000000000002
 02 DANIELS - August - 2022,0.0
 02 DANIELS - February - 2023,8.25
 02 DANIELS - July - 2022,3.7
 02 DANIELS - June - 2023,5.33
 02 DANIELS - November - 2022,8.06
 02 DANIELS - September - 2022,8.04
 03 FARADAY - April - 2023,9.809999999999999
 03 FARADAY - August - 2022,8.55
 03 FARADAY - January - 2023,8.75
 03 FARADAY - June - 2023,6.79
 03 FARADAY - November - 2022,8.63
 03 FARADAY - September - 2022,0.0
 04 FOUNDERS - April - 2023,6.13
 04 FOUNDERS - August - 2022,2.11
 04 FOUNDERS - December - 2022,5.32
 04 FOUNDERS - February - 2023,6.98
 04 FOUNDERS - January - 2023,4.2
 04 FOUNDERS - July - 2022,0.78
 04 FOUNDERS - June - 2023,1.23
 04 FOUNDERS - March - 2023,6.08
 04 FOUNDERS - May - 2023,4.7700000000000005
 04 FOUNDERS - November - 2022,6.35
 04 FOUNDERS - October - 2022,5.49
 04 FOUNDERS - September - 2022,7.07
 06 SALISBUR - April - 2023,12.3
 06 SALISBUR - August - 2022,6.220000000000001
 06 SALISBUR - December - 2022,13.75
 06 SALISBUR - February - 2023,11.33
 06 SALISBUR - January - 2023,8.469999999999999
 06 SALISBUR - July - 2022,6.07
 06 SALISBUR - June - 2023,8.68
 06 SALISBUR - March - 2023,12.879999999999999
 06 SALISBUR - May - 2023,8.09
 06 SALISBUR - November - 2022,12.79
 06 SALISBUR - October - 2022,11.37
 06 SALISBUR - September - 2022,17.18
 07 MORGAN H - April - 2023,11.24
 07 MORGAN H - August - 2022,6.6
 07 MORGAN H - December - 2022,9.81
 07 MORGAN H - February - 2023,10.629999999999999
 07 MORGAN H - January - 2023,8.06
 07 MORGAN H - July - 2022,3.3
 07 MORGAN H - June - 2023,2.84
 07 MORGAN H - March - 2023,11.61
 07 MORGAN H - May - 2023,7.96
 07 MORGAN H - November - 2022,11.33
 07 MORGAN H - October - 2022,9.55
 07 MORGAN H - September - 2022,17.63
 08 RECYCLE - April - 2023,3.93
 08 RECYCLE - August - 2022,5.36
 08 RECYCLE - December - 2022,5.53
 08 RECYCLE - January - 2023,6.4
 08 RECYCLE - July - 2022,8.01
 08 RECYCLE - June - 2023,6.21
 08 RECYCLE - March - 2023,10.09
 08 RECYCLE - November - 2022,3.68
 08 RECYCLE - October - 2022,6.66
 08 RECYCLE - September - 2022,0.0
 09 EAST HAL - April - 2023,3.77
 09 EAST HAL - August - 2022,2.53
 09 EAST HAL - December - 2022,1.75
 09 EAST HAL - February - 2023,1.06
 09 EAST HAL - January - 2023,3.05
 09 EAST HAL - June - 2023,3.2699999999999996
 09 EAST HAL - March - 2023,2.16
 09 EAST HAL - November - 2022,2.57
 09 EAST HAL - September - 2022,2.89
 10 CAMPUS C - April - 2023,21.14
 10 CAMPUS C - August - 2022,12.34
 10 CAMPUS C - December - 2022,18.93
 10 CAMPUS C - February - 2023,21.62
 10 CAMPUS C - January - 2023,14.54
 10 CAMPUS C - July - 2022,6.38
 10 CAMPUS C - June - 2023,10.59
 10 CAMPUS C - March - 2023,22.05
 10 CAMPUS C - May - 2023,14.38
 10 CAMPUS C - November - 2022,22.29
 10 CAMPUS C - October - 2022,21.34
 10 CAMPUS C - September - 2022,31.77
 12 RECYCLE - August - 2022,2.79
 12 RECYCLE - December - 2022,4.84
 12 RECYCLE - June - 2023,3.96
