Combined_Column,TONNAGE,Year
 01 MORGAN H - August - 2022,1.57,2022
 01 MORGAN H - December - 2022,2.07,2022
 01 MORGAN H - July - 2022,1.75,2022
 01 MORGAN H - November - 2022,2.8600000000000003,2022
 01 MORGAN H - October - 2022,2.36,2022
 01 MORGAN H - September - 2022,5.16,2022
 02 DANIELS - August - 2022,0.0,2022
 02 DANIELS - July - 2022,3.7,2022
 02 DANIELS - November - 2022,8.06,2022
 02 DANIELS - September - 2022,8.04,2022
 03 FARADAY - August - 2022,8.55,2022
 03 FARADAY - November - 2022,8.63,2022
 03 FARADAY - September - 2022,0.0,2022
 04 FOUNDERS - August - 2022,2.11,2022
 04 FOUNDERS - December - 2022,5.32,2022
 04 FOUNDERS - July - 2022,0.78,2022
 04 FOUNDERS - November - 2022,6.35,2022
 04 FOUNDERS - October - 2022,5.49,2022
 04 FOUNDERS - September - 2022,7.07,2022
 06 SALISBUR - August - 2022,6.220000000000001,2022
 06 SALISBUR - December - 2022,13.75,2022
 06 SALISBUR - July - 2022,6.07,2022
 06 SALISBUR - November - 2022,12.79,2022
 06 SALISBUR - October - 2022,11.37,2022
 06 SALISBUR - September - 2022,17.18,2022
 07 MORGAN H - August - 2022,6.6,2022
 07 MORGAN H - December - 2022,9.81,2022
 07 MORGAN H - July - 2022,3.3,2022
 07 MORGAN H - November - 2022,11.33,2022
 07 MORGAN H - October - 2022,9.55,2022
 07 MORGAN H - September - 2022,17.63,2022
 08 RECYCLE - August - 2022,5.36,2022
 08 RECYCLE - December - 2022,5.53,2022
 08 RECYCLE - July - 2022,8.01,2022
 08 RECYCLE - November - 2022,3.68,2022
 08 RECYCLE - October - 2022,6.66,2022
 08 RECYCLE - September - 2022,0.0,2022
 09 EAST HAL - August - 2022,2.53,2022
 09 EAST HAL - December - 2022,1.75,2022
 09 EAST HAL - November - 2022,2.57,2022
 09 EAST HAL - September - 2022,2.89,2022
 10 CAMPUS C - August - 2022,12.34,2022
 10 CAMPUS C - December - 2022,18.93,2022
 10 CAMPUS C - July - 2022,6.38,2022
 10 CAMPUS C - November - 2022,22.29,2022
 10 CAMPUS C - October - 2022,21.34,2022
 10 CAMPUS C - September - 2022,31.77,2022
 12 RECYCLE - August - 2022,2.79,2022
 12 RECYCLE - December - 2022,4.84,2022
