CUSTOMER_NM_Modified,MONTH_STRING,TONNAGE
 01 MORGAN H,August,1.57
 01 MORGAN H,December,2.07
 01 MORGAN H,July,1.75
 01 MORGAN H,November,2.8600000000000003
 01 MORGAN H,October,2.36
 01 MORGAN H,September,5.16
 02 DANIELS,August,0.0
 02 DANIELS,July,3.7
 02 DANIELS,November,8.06
 02 DANIELS,September,8.04
 03 FARADAY,August,8.55
 03 FARADAY,November,8.63
 03 FARADAY,September,0.0
 04 FOUNDERS,August,2.11
 04 FOUNDERS,December,5.32
 04 FOUNDERS,July,0.78
 04 FOUNDERS,November,6.35
 04 FOUNDERS,October,5.49
 04 FOUNDERS,September,7.07
 06 SALISBUR,August,6.220000000000001
 06 SALISBUR,December,13.75
 06 SALISBUR,July,6.07
 06 SALISBUR,November,12.79
 06 SALISBUR,October,11.37
 06 SALISBUR,September,17.18
 07 MORGAN H,August,6.6
 07 MORGAN H,December,9.81
 07 MORGAN H,July,3.3
 07 MORGAN H,November,11.33
 07 MORGAN H,October,9.55
 07 MORGAN H,September,17.63
 08 RECYCLE,August,5.36
 08 RECYCLE,December,5.53
 08 RECYCLE,July,8.01
 08 RECYCLE,November,3.68
 08 RECYCLE,October,6.66
 08 RECYCLE,September,0.0
 09 EAST HAL,August,2.53
 09 EAST HAL,December,1.75
 09 EAST HAL,November,2.57
 09 EAST HAL,September,2.89
 10 CAMPUS C,August,12.34
 10 CAMPUS C,December,18.93
 10 CAMPUS C,July,6.38
 10 CAMPUS C,November,22.29
 10 CAMPUS C,October,21.34
 10 CAMPUS C,September,31.77
 12 RECYCLE,August,2.79
 12 RECYCLE,December,4.84
