CUSTOMER_NM_Modified,MONTH_STRING,TONNAGE
 01 MORGAN H,July,1.75
 02 DANIELS,July,3.7
 04 FOUNDERS,July,0.78
 06 SALISBUR,July,6.07
 07 MORGAN H,July,3.3
 08 RECYCLE,July,8.01
 10 CAMPUS C,July,6.38
 01 MORGAN H,August,1.57
 02 DANIELS,August,0.0
 03 FARADAY,August,8.55
 04 FOUNDERS,August,2.11
 06 SALISBUR,August,6.220000000000001
 07 MORGAN H,August,6.6
 08 RECYCLE,August,5.36
 09 EAST HAL,August,2.53
 10 CAMPUS C,August,12.34
 12 RECYCLE,August,2.79
 01 MORGAN H,September,5.16
 02 DANIELS,September,8.04
 03 FARADAY,September,0.0
 04 FOUNDERS,September,7.07
 06 SALISBUR,September,17.18
 07 MORGAN H,September,17.63
 08 RECYCLE,September,0.0
 09 EAST HAL,September,2.89
 10 CAMPUS C,September,31.77
 01 MORGAN H,October,2.36
 04 FOUNDERS,October,5.49
 06 SALISBUR,October,11.37
 07 MORGAN H,October,9.55
 08 RECYCLE,October,6.66
 10 CAMPUS C,October,21.34
 01 MORGAN H,November,2.8600000000000003
 02 DANIELS,November,8.06
 03 FARADAY,November,8.63
 04 FOUNDERS,November,6.35
 06 SALISBUR,November,12.79
 07 MORGAN H,November,11.33
 08 RECYCLE,November,3.68
 09 EAST HAL,November,2.57
 10 CAMPUS C,November,22.29
 01 MORGAN H,December,2.07
 04 FOUNDERS,December,5.32
 06 SALISBUR,December,13.75
 07 MORGAN H,December,9.81
 08 RECYCLE,December,5.53
 09 EAST HAL,December,1.75
 10 CAMPUS C,December,18.93
 12 RECYCLE,December,4.84
